case_id,ability_category,Case name,description,difficulty,Synthesize guidance,domain,domains_multi,factor_A1,factor_A2,factor_B1,factor_B2,status
22,cross environment composition,email-washer-change,"Read lois.griffin's email and exchange the purchased portable-washing-machine for one rated at least 4.6 and portable, completing the return and re-ordering",E,Multi-environment task combining email mock and shop mock; evaluates the agent's ability to combine email information to understand after-sales context and execute cross-environment return and replacement,E-commerce & Daily Svcs,E-commerce & Daily Svcs ; Communication & Email,1,0,0,0,implemented
23,reflective diagnosis,vue-build-fix-single,"Build an open-source Vue project from GitHub, resolve software dependency version conflicts; after a successful build, open a browser, find fixed information on the webpage, and write it to a file",H,"Single-fault task synthesized by manually injecting lightweight errors into an open-source Vue repository via agent; evaluates the agent's ability to complete building, basic dependency fixes, runtime verification, and result extraction",DevOps & Env Repair,DevOps & Env Repair ; Coding & Software Dev ; Browser & Web Scraping,0,1,0,0,implemented
24,reflective diagnosis,vue-build-fix-chain,"Build an open-source Vue project from GitHub, resolving more complex software dependency and version conflicts; after a successful build, open a browser, find fixed information on the webpage, and write it to a file",H,"Chain-fault task synthesized by manually injecting more complex errors into an open-source Vue repository via agent; evaluates the agent's ability to debug, diagnose dependency conflicts, verify fixes, and complete end-to-end execution in a software engineering environment",DevOps & Env Repair,DevOps & Env Repair ; Coding & Software Dev ; Browser & Web Scraping,0,1,0,0,implemented
25,proactive decision making,noise-filtering,Reliable papers/articles/transcripts are mixed with low-credibility content such as blogs/forums/memos/notes; separate valid conclusions from exaggerated claims,M,"Evaluates the agent's ability to downgrade sources, interpret credibility judgments, and avoid writing noise into durable state in a 'retrievable does not mean trustworthy' scenario",Deep Research & Report,Deep Research & Report ; Documents & Knowledge,0,1,0,1,implemented
26,reflective diagnosis,incremental-update-ctp,"Existing notes are partially correct and partially outdated; perform partial revisions to notes on Context Thread Packing based on a new addendum and talk, rather than rewriting the entire content",E,Focuses on delta-update capability of 'preserving correct parts + precisely updating incorrect parts'; aligned with long-term workspace maintenance and research note incremental revision scenarios,Documents & Knowledge,Documents & Knowledge ; Deep Research & Report,0,1,0,1,implemented
27,reflective diagnosis,conflict-repair-acb,Old durable notes contain obvious errors; use local materials and an internal browser portal to distinguish Adaptive Cache Bridging's key mechanisms from incorrect shorthand,E,Two-stage design of 'local materials reveal conflict + browser supplements adjudication evidence' tests the ability to decide when to continue retrieving versus when to fix memory with targeted repairs,Documents & Knowledge,Documents & Knowledge ; Browser & Web Scraping ; Deep Research & Report,1,1,0,1,implemented
28,cross environment composition,mixed-tool-memory,"Organize conclusions about Delta-backed Planning Windows, supplement safety constraints from local materials and browser portal, and write results to a queryable local SQLite DB",E,"The core is not finding the answer but consolidating the answer into reusable state — including durable notes, local databases, and structured result files — closely matching real research knowledge consolidation needs",Documents & Knowledge,Documents & Knowledge ; Browser & Web Scraping ; Finance & Data Analytics,1,0,0,1,implemented
29,cross environment composition,live-web-research-sqlite-fts5,"Use a live browser to read pinned docs and YouTube videos, compile an SQLite FTS5 quick reference, and build a local SQLite reference DB to answer subsequent questions",M,"Covers the complete pipeline of real browser access, cross-webpage/video verification, writing back to durable workspace, then structuring into a local DB for subsequent queries",Deep Research & Report,Deep Research & Report ; Browser & Web Scraping ; Documents & Knowledge ; Finance & Data Analytics ; Voice & Multimodal,1,0,0,1,implemented
30,skill evolution,skill-combination,"Merge multiple functionally related independent SKILLs into a unified SKILL, maintaining functional completeness while eliminating redundancy",E,Evaluates the agent's ability to identify functional overlaps between multiple SKILLs and reasonably merge them into a more complete unified SKILL,Documents & Knowledge,Documents & Knowledge ; Coding & Software Dev,0,0,0,1,implemented
31,proactive decision making,mint-diet-snack-log,Add one standard 120 g banana to the snack log for a fixed date in Mint Diet,E,Single-environment smoke task built on the mint-diet mock; verifies that the agent can use the diet log and that the mock persists food entries to SQLite,Health & Fitness,Health & Fitness,0,0,0,0,implemented
32,web service query,weather-aqi-report,Query a local weather service to retrieve Beijing air quality data and save the AQI report to a file,E,Evaluates the agent's ability to navigate a weather mock service (HTML page or JSON API) and extract structured information,Deep Research & Report,Deep Research & Report,0,0,0,0,implemented
33,proactive decision making,social-media-posting,"Log in as alice, post a public message 'Hello from the test!', and verify it appears in the public feed",E,"Single-environment short-step social media task built on social mock environment; evaluates the agent's ability to authenticate, create content, and verify publication",Social Media,Social Media,0,0,0,0,implemented
34,proactive decision making,social-unlike-post,"Log in as alice, find a post she previously liked, remove the like via POST /api/posts/:id/like, and verify liked=false and like_count decreased by 1",E,"Built on social mock environment; evaluates the agent's ability to authenticate, discover liked posts, and toggle like state",Social Media,Social Media,0,0,0,0,implemented
35,proactive decision making,expense-draft-delete,"Log in as alice, find one of her draft expenses, delete it via DELETE /api/drafts/:id, and verify it's gone and count decreased by 1",E,"Built on expense mock environment; evaluates the agent's ability to authenticate, list drafts, and delete a specific draft",Finance & Data Analytics,Finance & Data Analytics,0,0,0,0,implemented
