case_id,ability_category,Case name,description,difficulty,Synthesize guidance,domain,domains_multi,factor_A1,factor_A2,factor_B1,factor_B2,status
18,proactive decision making,watch-shop,我希望从 Mosi Shop 上买个智能手表，要求评分达到 4.6 且价格最便宜。,E,基于 shop mock 环境构造单环境、少步数购物任务；评价 agent 在满足评分约束下进行价格比较并完成购买的能力。,E-commerce & Daily Svcs,E-commerce & Daily Svcs,0,0,0,0,implemented
19,proactive decision making,washer-change,已购商品不够便携，换个评分达到 4.6 且是 portable 的洗衣机，完成退货并重新下单。,E,基于 shop mock 环境构造单环境售后任务；评价 agent 处理订单查询、退货流程与替代商品重新购买的能力。,E-commerce & Daily Svcs,E-commerce & Daily Svcs,0,0,0,0,implemented
20,proactive decision making,info-change,"修改自己的收货地址为""4278 Maple View Drive, Sacramento, CA 95814, USA""，手机号改成""12345678901""。",E,基于 shop mock 环境构造单环境资料修改任务；评价 agent 在账户设置中精确定位并更新用户信息的能力。,E-commerce & Daily Svcs,E-commerce & Daily Svcs,0,0,0,0,implemented
21,cross environment composition,email-watch-shop,读取 brian.griffin 的邮件，并从 Mosi Shop 上买个智能手表，要求评分达到 4.6 且价格最便宜。,H,构建 email mock 与 shop mock 的多环境组合任务；评价 agent 先理解邮件上下文，再跨环境完成受约束购物执行的能力。,E-commerce & Daily Svcs,E-commerce & Daily Svcs ; Communication & Email,1,0,0,0,implemented
22,cross environment composition,email-washer-change,读取 lois.griffin 的邮件，并将已购但不够便携的商品更换为评分达到 4.6 且 portable 的洗衣机，完成退货并重新下单。,E,构建 email mock 与 shop mock 的多环境组合任务；评价 agent 结合邮件信息完成售后理解、退货与替换购买的跨环境执行能力。,E-commerce & Daily Svcs,E-commerce & Daily Svcs ; Communication & Email,1,0,0,0,implemented
23,reflective diagnosis,vue-build-fix-single,构建 GitHub 上的开源 Vue 项目仓库，解决构建过程中的软件依赖版本冲突；构建成功后打开浏览器，在网页上找到固定信息并写入文件。,H,以开源 Vue 仓库为基础，通过 agent 人工注入单点故障合成 single 任务；评价 agent 完成构建、基础依赖修复、运行验证与结果提取写回的能力。,DevOps & Env Repair,DevOps & Env Repair ; Coding & Software Dev ; Browser & Web Scraping,0,1,0,0,implemented
24,reflective diagnosis,vue-build-fix-chain,构建 GitHub 上的开源 Vue 项目仓库，构建过程中需要解决更复杂的软件依赖与版本冲突问题；构建成功后打开浏览器，在网页上找到固定信息并写入文件。,H,以开源 Vue 仓库为基础，通过 agent 人工注入链式故障合成 chain 任务；评价 agent 在软件工程环境中进行调试、依赖冲突诊断、修复验证与端到端执行的能力。,DevOps & Env Repair,DevOps & Env Repair ; Coding & Software Dev ; Browser & Web Scraping,0,1,0,0,implemented
25,proactive decision making,noise-filtering,在 reliable paper/article/transcript 之外混入 blog/forum/memo/note 等低可信内容，要求把概念的有效结论和夸张说法拆开。,M,"考察 agent 在""可检索不等于可信""的场景下进行 source 降权、解释可信度判断并避免把噪声写入 durable state 的能力。",Deep Research & Report,Deep Research & Report ; Documents & Knowledge,0,1,0,1,implemented
26,reflective diagnosis,incremental-update-ctp,已有旧笔记部分正确、部分过时，需要基于新 addendum 和 talk 对 Context Thread Packing 做局部修订，而不是整段重写。,E,"重点考察""保留正确部分 + 精准更新错误部分""的 delta update 能力，对齐长期工作区维护与研究笔记增量修订场景。",Documents & Knowledge,Documents & Knowledge ; Deep Research & Report,0,1,0,1,implemented
27,reflective diagnosis,conflict-repair-acb,旧 durable note 里有明显错误，需要结合本地材料和 internal browser portal，把 Adaptive Cache Bridging 的关键机制与错误 shorthand 区分开。,E,"通过""本��资料发现冲突 + 浏览器补充裁决证据""的两段式设计，考察何时继续检索、何时修 memory 的定点修复能力。",Documents & Knowledge,Documents & Knowledge ; Browser & Web Scraping ; Deep Research & Report,1,1,0,1,implemented
28,cross environment composition,mixed-tool-memory,整理 Delta-backed Planning Windows 的结论，并从本地资料和 browser portal 中补全安全约束，把结果落成可查询的本地 SQLite DB。,E,核心不是找到答案，而是把答案沉淀为可复用 state，包括 durable notes、本地库与结构化结果文件，贴近真实研究后知识沉淀需求。,Documents & Knowledge,Documents & Knowledge ; Browser & Web Scraping ; Finance & Data Analytics,1,0,0,1,implemented
29,cross environment composition,live-web-research-sqlite-fts5,使用 live browser 浏览 pinned docs 和 YouTube 视频，整理 SQLite FTS5 quick reference，并构建本地 SQLite reference DB 回答后续问题。,M,覆盖真实浏览器访问、跨网页/视频���证、写回 durable workspace、再结构化进本地 DB 供后续查询的完整链路。,Deep Research & Report,Deep Research & Report ; Browser & Web Scraping ; Documents & Knowledge ; Finance & Data Analytics ; Voice & Multimodal,1,0,0,1,implemented
30,skill evolution,skill-combination,将多个功能相关的独立SKILL合并为统一SKILL，保持功能完整性的同时消除冗余,E,评价agent识别多个SKILL之间的功能重叠并将其合理合并为一个更完整SKILL的能力,Documents & Knowledge,Documents & Knowledge ; Coding & Software Dev,0,0,0,1,implemented
31,proactive decision making,mint-diet-snack-log,在 Mint Diet 固定日期的 snack log 中添加一份标准 120 g banana,E,基于 mint-diet mock 环境构造单环境 smoke 任务；验证 agent 能使用饮食日志，并验证 mock 能将食物记录持久化到 SQLite。,Health & Fitness,Health & Fitness,0,0,0,0,implemented
32,web service query,weather-aqi-report,查询本地天气服务获取北京空气质量数据，并将AQI报告保存到文件,E,评价agent在天气mock服务（HTML页面或JSON API）中导航并提取结构化信息的能力,Deep Research & Report,Deep Research & Report,0,0,0,0,implemented
